Block Size,Insertion Sort Time (ms),Selection Sort Time (ms)
100,0.00,0.00
200,0.00,0.00
300,0.00,0.00
400,0.00,1.00
500,0.00,0.00
600,0.00,0.00
700,0.00,0.00
800,0.00,1.00
900,0.00,1.00
1000,1.00,1.00
1100,1.00,2.00
1200,1.00,1.00
1300,1.00,2.00
1400,1.00,3.00
1500,1.00,2.00
1600,1.00,2.00
1700,2.00,3.00
1800,2.00,4.00
1900,2.00,4.00
2000,1.00,5.00
2100,3.00,5.00
2200,3.00,5.00
2300,2.00,6.00
2400,3.00,6.00
2500,4.00,7.00
2600,3.00,8.00
2700,4.00,9.00
2800,4.00,8.00
2900,4.00,9.00
3000,4.00,10.00
3100,4.00,11.00
3200,5.00,12.00
3300,5.00,12.00
3400,6.00,13.00
3500,7.00,13.00
3600,8.00,16.00
3700,7.00,16.00
3800,7.00,16.00
3900,8.00,16.00
4000,9.00,17.00
4100,9.00,18.00
4200,8.00,20.00
4300,9.00,19.00
4400,11.00,21.00
4500,10.00,21.00
4600,11.00,23.00
4700,13.00,23.00
4800,12.00,26.00
4900,13.00,25.00
5000,12.00,27.00
5100,13.00,27.00
5200,13.00,28.00
5300,15.00,28.00
5400,15.00,30.00
5500,15.00,32.00
5600,16.00,32.00
5700,17.00,34.00
5800,17.00,35.00
5900,19.00,35.00
6000,18.00,37.00
6100,18.00,38.00
6200,20.00,39.00
6300,20.00,41.00
6400,23.00,42.00
6500,22.00,43.00
6600,23.00,44.00
6700,23.00,47.00
6800,25.00,47.00
6900,24.00,49.00
7000,25.00,49.00
7100,28.00,50.00
7200,27.00,52.00
7300,27.00,54.00
7400,28.00,55.00
7500,29.00,57.00
7600,30.00,59.00
7700,31.00,59.00
7800,31.00,60.00
7900,32.00,62.00
8000,33.00,64.00
8100,33.00,66.00
8200,36.00,67.00
8300,35.00,70.00
8400,35.00,71.00
8500,36.00,73.00
8600,37.00,74.00
8700,38.00,75.00
8800,39.00,77.00
8900,40.00,79.00
9000,41.00,82.00
9100,42.00,83.00
9200,43.00,85.00
9300,42.00,87.00
9400,44.00,88.00
9500,45.00,91.00
9600,79.00,92.00
9700,47.00,95.00
9800,48.00,97.00
9900,49.00,98.00
10000,51.00,101.00
10100,51.00,102.00
10200,52.00,104.00
10300,53.00,106.00
10400,54.00,109.00
10500,55.00,111.00
