Block Size,Insertion Sort Best Case (ms),Insertion Sort Worst Case (ms),Selection Sort Best Case (ms),Selection Sort Worst Case (ms)
100,0.00,0.00,0.00,0.00
200,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
400,0.00,0.00,0.00,0.00
500,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
700,0.00,0.00,0.00,0.00
800,0.00,0.00,8.00,0.00
900,0.00,0.00,0.00,0.00
1000,0.00,0.00,0.00,8.00
1100,0.00,1.00,0.00,0.00
1200,0.00,8.00,2.00,4.00
1300,0.00,4.00,2.00,4.00
1400,0.00,0.00,8.00,0.00
1500,0.00,9.00,0.00,10.00
1600,0.00,0.00,6.00,0.00
1700,0.00,9.00,8.00,0.00
1800,0.00,8.00,9.00,0.00
1900,0.00,8.00,9.00,0.00
2000,0.00,1.00,8.00,8.00
2100,0.00,9.00,8.00,8.00
2200,0.00,9.00,16.00,7.00
2300,0.00,9.00,8.00,16.00
2400,0.00,8.00,8.00,9.00
2500,0.00,8.00,8.00,8.00
2600,0.00,17.00,8.00,17.00
2700,0.00,21.00,20.00,18.00
2800,0.00,29.00,19.00,24.00
2900,0.00,25.00,24.00,25.00
3000,0.00,25.00,29.00,29.00
3100,0.00,24.00,33.00,24.00
3200,0.00,29.00,29.00,24.00
3300,0.00,33.00,26.00,15.00
3400,0.00,34.00,24.00,16.00
3500,0.00,20.00,25.00,21.00
3600,0.00,23.00,24.00,25.00
3700,0.00,41.00,25.00,24.00
3800,0.00,36.00,30.00,8.00
3900,0.00,16.00,25.00,17.00
4000,0.00,26.00,16.00,34.00
4100,0.00,41.00,34.00,16.00
4200,0.00,45.00,26.00,26.00
4300,0.00,25.00,32.00,33.00
4400,0.00,49.00,33.00,25.00
4500,0.00,24.00,34.00,25.00
4600,0.00,32.00,34.00,34.00
4700,0.00,49.00,65.00,42.00
4800,0.00,33.00,25.00,34.00
4900,0.00,30.00,33.00,25.00
5000,0.00,33.00,33.00,25.00
5100,0.00,51.00,67.00,56.00
5200,0.00,48.00,60.00,50.00
5300,0.00,49.00,34.00,33.00
5400,0.00,47.00,53.00,50.00
5500,0.00,61.00,38.00,49.00
5600,0.00,49.00,43.00,40.00
5700,0.00,55.00,55.00,50.00
5800,0.00,83.00,48.00,50.00
5900,0.00,50.00,58.00,41.00
6000,0.00,46.00,58.00,49.00
6100,0.00,58.00,56.00,41.00
6200,0.00,67.00,57.00,58.00
6300,0.00,49.00,67.00,115.00
6400,0.00,74.00,100.00,100.00
6500,0.00,82.00,82.00,116.00
6600,0.00,74.00,57.00,50.00
6700,0.00,58.00,74.00,50.00
6800,0.00,84.00,113.00,84.00
6900,0.00,121.00,69.00,58.00
7000,0.00,74.00,73.00,60.00
7100,0.00,83.00,101.00,91.00
7200,0.00,99.00,98.00,66.00
7300,0.00,110.00,90.00,75.00
7400,0.00,90.00,73.00,63.00
7500,0.00,94.00,110.00,119.00
7600,0.00,165.00,122.00,139.00
7700,0.00,164.00,156.00,107.00
7800,0.00,92.00,91.00,110.00
7900,0.00,97.00,116.00,74.00
8000,0.00,149.00,141.00,105.00
8100,0.00,92.00,91.00,75.00
8200,0.00,98.00,90.00,99.00
8300,0.00,108.00,82.00,83.00
8400,0.00,100.00,100.00,99.00
8500,0.00,100.00,100.00,104.00
8600,0.00,108.00,109.00,119.00
8700,0.00,113.00,122.00,92.00
8800,0.00,108.00,106.00,140.00
8900,0.00,121.00,116.00,99.00
9000,0.00,116.00,132.00,149.00
9100,0.00,112.00,123.00,134.00
9200,0.00,153.00,167.00,108.00
9300,0.00,142.00,169.00,211.00
9400,0.00,221.00,214.00,230.00
9500,0.00,237.00,141.00,133.00
9600,0.00,182.00,128.00,122.00
9700,0.00,208.00,124.00,133.00
9800,0.00,223.00,202.00,134.00
9900,0.00,208.00,154.00,140.00
10000,0.00,155.00,166.00,155.00
10100,0.00,222.00,166.00,158.00
10200,0.00,163.00,151.00,181.00
10300,0.00,149.00,150.00,116.00
10400,0.00,154.00,196.00,158.00
10500,0.00,421.00,490.00,453.00
10600,0.00,546.00,522.00,480.00
10700,8.00,547.00,530.00,482.00
10800,0.00,558.00,525.00,468.00
10900,0.00,409.00,286.00,478.00
11000,0.00,526.00,546.00,515.00
11100,0.00,495.00,512.00,461.00
11200,0.00,206.00,202.00,195.00
11300,0.00,210.00,203.00,164.00
11400,0.00,187.00,207.00,297.00
11500,0.00,232.00,192.00,147.00
11600,0.00,251.00,267.00,274.00
11700,0.00,318.00,225.00,205.00
11800,0.00,232.00,244.00,221.00
11900,0.00,240.00,190.00,150.00
12000,0.00,224.00,238.00,180.00
12100,0.00,242.00,222.00,183.00
12200,0.00,241.00,298.00,191.00
12300,0.00,224.00,223.00,256.00
12400,0.00,248.00,257.00,214.00
12500,0.00,274.00,291.00,222.00
12600,0.00,251.00,236.00,178.00
12700,0.00,241.00,246.00,199.00
12800,0.00,241.00,208.00,224.00
12900,0.00,281.00,230.00,207.00
13000,0.00,238.00,291.00,339.00
13100,0.00,373.00,265.00,280.00
13200,0.00,365.00,270.00,349.00
13300,0.00,356.00,679.00,333.00
13400,0.00,409.00,508.00,441.00
13500,0.00,371.00,535.00,586.00
13600,0.00,652.00,779.00,665.00
13700,0.00,747.00,729.00,670.00
13800,0.00,610.00,797.00,563.00
13900,0.00,794.00,821.00,688.00
14000,0.00,807.00,837.00,731.00
14100,0.00,810.00,827.00,722.00
14200,0.00,862.00,871.00,756.00
14300,0.00,876.00,842.00,735.00
14400,0.00,855.00,872.00,766.00
14500,0.00,889.00,911.00,560.00
14600,0.00,411.00,909.00,836.00
14700,0.00,929.00,903.00,827.00
14800,0.00,345.00,281.00,348.00
14900,0.00,357.00,348.00,390.00
15000,0.00,320.00,309.00,262.00
15100,0.00,294.00,348.00,284.00
15200,0.00,321.00,372.00,389.00
15300,0.00,412.00,388.00,332.00
15400,0.00,380.00,397.00,330.00
15500,0.00,365.00,356.00,345.00
