Block Size,QuickSort Random (ms),MergeSort Random (ms),QuickSort Best (ms),MergeSort Best (ms),QuickSort Worst (ms),MergeSort Worst (ms)
100,0,0,0,0,0,2.712
200,0,0,0,1.508,0,0
300,0,0,0,0,0,0
400,0,0,0,0,4.123,0.338
500,0,0,4.501,0,3.643,0
600,0,0,5.453,0,2.713,0
700,0,0,0,0,6.772,0
800,0,0,7.72,0,0,0
900,0,0,0,0,0,0
1000,0,0,7.703,0,2.006,0
1100,0,0,8.596,0,7.413,0
1200,0,2.377,7.317,0,6.881,0
1300,0,2.172,5.011,7.032,1.321,8.01
1400,0,9.107,7.641,0,7.793,0
1500,0,0,20.801,2.004,10.223,0
1600,0,0,34.882,0,30.601,0
1700,0,0,49.288,8.795,32.17,0
1800,0,0,57.62,0,23.985,8.318
1900,0,4.016,41.833,0,41.346,0
2000,0,0,56.271,8.918,27.086,3.75
2100,0,8.761,44.762,0,33.649,0
2200,0,0,49.365,8.191,37.867,3.843
2300,0,0,89.232,0,24.924,0
2400,0,0,74.292,0,24.297,0
2500,0,0,74.877,0,41.405,0.426
2600,0,7.103,58.101,0,41.351,0.357
2700,0,2.305,40.805,8.33,24.794,0
2800,0,2.003,58.932,1.502,23.786,8.257
2900,0,0,57.342,8.391,41.428,0
3000,0,0,67.445,1.502,31.924,3.322
3100,0,9.045,56.592,0,35.975,2.003
3200,0,0,70.519,2.003,41.073,0
3300,0,4.458,78.339,0,44.174,4.994
3400,0,9.012,73.258,0,50.479,0
3500,0,0,90.601,0,49.739,0
3600,0,4.491,83.878,0,49.733,0
3700,0,6.641,97.226,0,57.31,0
3800,0,8.073,107.605,0,98.652,9.07
3900,7.908,0.512,148.339,0,81.911,0
4000,0,6.083,98.965,0,67.148,0
4100,1.505,0.511,105.579,0,66.917,0
4200,0,8.11,114.856,8.326,75.868,8.036
4300,0,0,140.514,0,66.346,8.433
4400,2.01,4.419,105.714,0,66.843,0
4500,1.007,0,133.837,7.62,82.002,0
4600,0,0,115.311,8.324,90.148,0
4700,0,0,132.408,0,108.086,0
4800,8.572,0.894,163.633,1.09,80.871,8.121
4900,2.54,2.089,153.782,0,124.738,8.152
5000,0,5.145,158.013,8.393,83.714,8.368
5100,0,8.125,156.715,10.42,109.165,1.762
5200,0,8.363,173.095,0,124.958,0
5300,0,0,147.518,8.385,99.455,0
5400,0,0,181.524,8.146,100.142,0
5500,0,0,190.446,8.81,124.322,0
5600,0,5.226,206.737,7.994,139.93,7.81
5700,0,8.444,208.32,0,139.303,4.757
5800,0,6.645,193.608,8.419,165.867,8.278
5900,0,6.705,233.078,0,133.095,0
6000,0,0,207.763,0.525,165.209,0
6100,0,10.029,287.89,0,156.604,3.94
6200,0,9.278,263.267,0,165.258,6.016
6300,0,8.041,260.481,8.163,127.965,8.151
6400,8.516,0,307.042,0,174.694,0
6500,0,6.452,238.346,8.527,166.338,8.455
6600,0,10.466,361.648,7.671,173.786,6.263
6700,0,8.162,265.931,2.49,171.641,8.119
6800,0,0,271.125,2.516,166.164,8.748
6900,0,0,322.148,0,237.553,4.018
7000,7.813,0,442.11,0,345.612,8.858
7100,0,12.702,297.006,0,192.132,0
7200,7.424,0,297.221,0,179.388,0
7300,2.004,4.005,305.564,0,174.145,9.454
7400,0,7.94,308.626,0,205.539,0
7500,0,9.056,388.531,0,266.855,0
7600,0,12.609,382.9,8.73,227.659,0
7700,3.688,4.542,421.723,8.557,250.556,4.991
7800,0,2.97,371.298,17.938,719.536,16.889
7900,4.448,18.157,1052.76,17.23,683.855,17.01
8000,5.183,17.139,1138.25,14.514,818.397,16.682
8100,6.253,19.75,1114.42,8.817,363.569,13.421
8200,7.783,25.394,1291.03,15.449,795.299,19.532
8300,6.037,17.887,1168.06,0,287.101,0
8400,8.516,0,493.601,11.579,399.003,4.023
8500,0,9.757,615.335,8.162,423.623,8.531
8600,3.767,7.953,568.258,8.417,324.663,5.852
8700,0,8.423,518.668,0,411.164,12.136
8800,0,11.792,413.42,8.329,300.188,8.607
8900,0,8.712,478.862,7.798,360.602,16.454
9000,4.654,17.905,1694.38,15.749,964.589,12.873
9100,9.326,17.227,1439.24,15.596,804.153,0.304
9200,0,6.865,546.389,7.722,439.857,7.628
9300,3.787,5.495,574.816,8.408,382.361,8.505
9400,7.975,8.579,526.045,7.042,427.846,3.112
9500,4.625,0,514.264,0,353.987,8.609
9600,0,8.723,505.366,2.005,380.034,8.268
9700,0,8.705,696.106,13.03,534.642,8.276
9800,3.014,6.075,740.249,9.247,390.241,11.066
