Original Points:
93 0
97 2
100 5
97 55
99 96
97 65
97 67
98 90
96 79
92 63
91 42
87 82
86 81
88 53
86 71
86 67
89 36
82 90
88 39
80 64
74 91
83 46
87 27
69 93
75 66
70 81
63 97
67 79
60 97
78 39
55 91
58 83
73 46
59 76
74 42
47 100
62 63
51 85
70 45
44 95
51 78
66 50
74 35
42 92
44 84
64 47
44 79
58 55
49 69
36 87
51 59
34 81
61 43
43 66
52 54
23 91
15 100
23 85
22 85
14 91
53 45
5 99
24 75
40 56
84 9
34 59
29 64
49 43
28 63
0 89
17 72
35 47
47 35
68 19
18 54
66 18
15 52
55 24
66 17
79 8
16 42
11 44
10 44
7 45
20 32
43 18
3 23
34 13
56 8
55 8
48 8
8 14
42 7
31 8
61 4
50 5
11 5
71 1
20 3
16 2

Convex Hull:
93 0
97 2
100 5
99 96
47 100
15 100
5 99
0 89
3 23
11 5
16 2
