Points BruteForce(us) DivideConquer(us) GrahamScan(us)
4 3.98 9.53 3.09
5 6.44 6.48 1.02
6 3.36 7.00 1.34
7 4.28 9.81 2.07
8 9.83 16.86 5.26
9 8.45 14.29 2.47
10 6.78 29.81 4.80
11 16.60 20.55 3.09
12 11.63 22.53 3.20
13 15.03 28.25 3.01
14 15.64 24.60 3.67
15 16.55 26.95 4.04
16 18.96 28.44 4.01
17 23.03 30.61 5.00
18 25.69 29.58 4.15
19 24.05 27.46 3.21
20 20.83 24.76 3.40
21 16.33 19.33 3.00
22 22.61 19.95 3.01
23 21.42 20.08 3.02
24 22.60 20.74 3.02
25 24.86 22.20 3.02
26 27.01 23.33 3.01
27 27.85 25.77 3.01
28 31.86 26.20 3.03
29 32.73 28.97 3.50
30 37.54 29.24 3.05
31 62.97 37.87 7.05
32 46.85 44.90 4.35
33 50.20 33.45 4.02
34 52.15 35.09 4.03
35 58.08 35.95 4.03
36 59.40 33.84 5.03
37 65.04 37.70 5.53
38 68.13 39.27 6.02
39 74.80 41.17 6.00
40 78.20 41.02 6.03
41 83.66 39.71 6.07
42 91.57 40.79 6.15
43 100.05 40.42 6.88
44 103.21 41.31 7.01
45 109.26 44.68 6.42
46 117.58 46.70 7.59
47 123.14 46.79 7.22
48 131.84 48.86 7.09
49 139.77 49.91 7.02
50 144.35 51.21 7.33
51 153.28 52.05 7.31
52 159.32 52.17 7.90
53 170.82 64.81 18.21
54 188.79 56.00 8.02
55 190.63 57.53 8.02
56 194.30 60.20 8.13
57 198.73 62.70 8.19
58 206.02 63.16 8.81
59 214.58 63.81 8.56
60 218.27 64.19 9.02
61 235.41 66.37 9.03
62 239.13 64.32 9.02
63 250.03 67.89 9.03
64 264.67 71.38 9.59
65 286.59 74.23 9.97
66 302.42 73.77 9.35
67 315.64 73.99 10.13
68 339.59 76.63 9.44
69 365.00 75.28 10.22
70 359.61 75.59 10.04
71 366.27 78.75 10.02
72 383.92 79.52 10.50
73 405.73 80.53 11.05
74 431.09 83.29 11.71
75 445.79 86.08 12.56
76 471.64 88.99 13.03
77 489.71 86.33 12.97
78 513.79 104.90 43.81
79 555.41 90.00 13.02
80 573.26 91.73 13.13
81 590.65 91.97 13.33
82 606.95 91.54 13.56
83 624.83 92.74 13.97
84 642.12 93.79 13.96
85 670.14 97.35 14.07
86 716.86 99.19 14.02
87 711.84 99.26 14.62
88 738.18 99.62 14.29
89 770.58 98.50 14.48
90 802.01 99.73 14.78
91 869.49 100.17 15.12
92 862.18 101.59 15.54
93 887.57 108.50 15.32
94 916.61 109.70 15.24
95 954.53 110.16 15.30
96 1005.28 110.03 15.93
97 1027.12 112.06 16.01
98 1062.11 111.81 16.23
99 1089.42 116.46 16.11
100 1152.78 116.04 16.27
