BlockSize	BruteForce	DivideandConquer	Kadane'sAlgorithm
100	0.063	0.027	0.002
200	0.182	0.038	0.005
300	0.416	0.055	0.004
400	0.563	0.064	0.006
500	0.833	0.087	0.007
600	1.546	0.129	0.009
700	1.706	0.11	0.009
800	2.181	0.115	0.009
900	2.982	0.144	0.013
1000	3.18	0.151	0.012
1100	2.711	0.121	0.007
1200	2.666	0.106	0.009
1300	3.036	0.137	0.009
1400	4.184	0.222	0.015
1500	5.323	0.27	0.018
1600	5.821	0.145	0.009
1700	6.184	0.241	0.012
1800	7.667	0.227	0.014
1900	7.241	0.163	0.01
2000	8.384	0.208	0.012
2100	8.944	0.326	0.02
2200	12.505	0.24	0.013
2300	10.54	0.253	0.016
2400	11.195	0.415	0.025
2500	14.652	0.205	0.013
2600	13.872	0.386	0.034
2700	14.201	0.268	0.015
2800	16.081	0.284	0.015
2900	16.96	0.419	0.036
3000	17.95	0.249	0.015
3100	19.738	0.551	0.032
3200	21.086	0.297	0.025
3300	21.203	0.358	0.021
3400	20.034	0.355	0.019
3500	23.427	0.373	0.022
3600	22.845	0.291	0.018
3700	26.46	0.362	0.036
3800	27.066	0.457	0.029
3900	28.649	0.573	0.028
4000	33.7	0.582	0.032
4100	31.566	0.347	0.02
4200	30.962	0.348	0.02
4300	33.756	0.374	0.033
4400	35.405	0.42	0.023
4500	35.9	0.377	0.021
4600	34.42	0.387	0.022
4700	35.362	0.379	0.022
4800	35.335	0.39	0.022
4900	38.645	0.449	0.024
5000	39.552	0.405	0.023
5100	39.869	0.414	0.024
5200	60.99	0.736	0.051
5300	76.113	0.777	0.041
5400	58.805	0.862	0.042
5500	54.065	0.459	0.026
5600	49.731	0.478	0.026
5700	70.07	0.598	0.028
5800	62.871	0.702	0.038
5900	67.983	0.915	0.058
6000	70.212	0.566	0.032
6100	81.372	0.581	0.046
6200	85.597	0.913	0.034
6300	84.314	0.878	0.043
6400	80.637	0.656	0.04
6500	87.892	0.884	0.04
6600	82.703	0.96	0.048
6700	75.951	0.619	0.032
6800	69.196	0.627	0.035
6900	69.984	0.565	0.032
7000	71.642	0.566	0.032
7100	72.522	0.596	0.032
7200	75.27	0.687	0.033
7300	77.103	0.665	0.032
7400	80.027	0.695	0.033
7500	82.968	0.649	0.033
7600	83.976	0.641	0.035
7700	98.743	1.082	0.068
7800	132.118	1.019	0.048
7900	91.974	0.662	0.036
8000	93.351	0.671	0.036
8100	93.634	0.682	0.037
8200	117.859	1.265	0.061
8300	104.646	0.696	0.038
8400	106.781	0.712	0.038
8500	102.22	0.705	0.038
8600	109.198	0.744	0.04
8700	106.298	0.739	0.039
8800	109.799	0.743	0.04
8900	114.736	0.834	0.042
9000	139.961	0.911	0.041
9100	118.692	0.768	0.041
9200	123.79	0.845	0.045
9300	150.051	1.347	0.12
9400	176.974	1.065	0.051
9500	168.7	1.128	0.091
9600	188.172	1.402	0.062
9700	257.625	1.577	0.107
9800	260.114	0.833	0.045
9900	158.89	1.107	0.064
10000	164.205	1.229	0.112
