PatternSize,InputFile,Text(Ts),Pattern(Ps),TimeTaken(ms),
10,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",rojectgute,0.012,
20,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",tingthisoranyotherpr,0.01,
30,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",YHQQOABJCETOCAEJPXGDJNJXZPOSRM,0.011,
40,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",QVEIKELVGQQWSRAEGYKJJZUJYJXRBLETGIBSMNPV,0.01,
50,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",GTXXUDFUQODPIMQTLJUWNPFWTZKIPHNXBKWXQBRGRWXBLNUWWR,0.008,
60,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",KGCIZBUHSCUPFHNCZQVFHREIESFBOWYAEAIGBDNUHKLMTZOUPLZZCFJJXOKM,0.008,
70,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan","used.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhow",0.008,
80,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",ojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgut,0.008,
90,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",ectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysira,0.008,
100,input_1000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousan",NCKJJWVVRWLLNYMMASWJPMVDXHSORPLFTXOCWLZNJMBXKNLMHJYZWVCVDWLUNYBGXSKTFJJPXKMHZZWJJUIHPMCUJNPWNSFKKPEQ,0.011,
10,input_2000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousandsofvolunteers!*****title:theadventuresofsherlockholmesauthor:sirarthurconandoylereleasedate:march,1999[ebook#1661][mostrecentlyupdated:november29,2002]edition:12language:englishcharactersetencoding:ascii***startoftheprojectgutenbergebook,theadventuresofsherlockholmes***(additionaleditingbyjosemenendez)theadventuresofsherlockholmesbysirarthurconandoylecontentsi.ascandalinbohemiaii.thered-headedleagueiii.acaseofidentityiv.theboscombevalleymysteryv.thefiveorangepipsvi.themanwiththetwistedlipvii.theadventureofthebluecarbuncleviii.theadventureofthespeckledbandix.theadventureoftheengineer'sthumbx.theadventureofthenoblebachelorxi.theadventureoftheberylcoronetxii.theadventureofthecopperbeechesadventurei.ascandalinbohemiai.tosherlockholmessheisalwaysthewoman.ihaveseldomheardhimmentionherunderanyothername.in",PHWBVGCUCL,0.016,
20,input_2000.txt,"theprojectgutenbergebookoftheadventuresofsherlockholmesbysirarthurconandoyle(#15inourseriesbysirarthurconandoyle)copyrightlawsarechangingallovertheworld.besuretocheckthecopyrightlawsforyourcountrybeforedownloadingorredistributingthisoranyotherprojectgutenbergebook.thisheadershouldbethefirstthingseenwhenviewingthisprojectgutenbergfile.pleasedonotremoveit.donotchangeoredittheheaderwithoutwrittenpermission.pleasereadthe""legalsmallprint,""andotherinformationabouttheebookandprojectgutenbergatthebottomofthisfile.includedisimportantinformationaboutyourspecificrightsandrestrictionsinhowthefilemaybeused.youcanalsofindoutabouthowtomakeadonationtoprojectgutenberg,andhowtogetinvolved.**welcometotheworldoffreeplainvanillaelectronictexts****ebooksreadablebybothhumansandbycomputers,since1971*******theseebookswerepreparedbythousandsofvolunteers!*****title:theadventuresofsherlockholmesauthor:sirarthurconandoylereleasedate:march,1999[ebook#1661][mostrecentlyupdated:november29,2002]edition:12language:englishcharactersetencoding:ascii***startoftheprojectgutenbergebook,theadventuresofsherlockholmes***(additionaleditingbyjosemenendez)theadventuresofsherlockholmesbysirarthurconandoylecontentsi.ascandalinbohemiaii.thered-headedleagueiii.acaseofidentityiv.theboscombevalleymysteryv.thefiveorangepipsvi.themanwiththetwistedlipvii.theadventureofthebluecarbuncleviii.theadventureofthespeckledbandix.theadventureoftheengineer'sthumbx.theadventureofthenoblebachelorxi.theadventureoftheberylcoronetxii.theadventureofthecopperbeechesadventurei.ascandalinbohemiai.tosherlockholmessheisalwaysthewoman.ihaveseldomheardhimmentionherunderanyothername.in",WTKNIOIRDZPQRUBEKFWL,0.02,
